Name,Title,Pronouns,Job,Panel,Affiliation,ShortBio,Website,Twitter,GitHub
Naomi Gaggi,,she/her,Co-Moderator ,Open Code: 6 Myths Debunked,CUNY Medical School & Grad Center,Naomi is a PhD Candidate (Neuroscience) at CUNY School of Medicine. Her dissertation focuses on studying the perfusion changes in moderate-severe traumatic brain injury patients using concurrent noninvasive brain stimulation-magnetic resonance imaging techniques.,naomigaggi.wordpress.com,https://twitter.com/naomigaggi,github.com/naomigaggi
Simine Vazire,,she/her,Speaker,Open Publishing,University of Melbourne,"Simine's research examines whether and how science self-corrects, focusing on psychology. She studies the research methods and practices used in psychology, as well as structural systems in science, such as peer review. She also examines whether people know themselves, and where our blind spots are in our self-knowledge. She teach esresearch methods. She co-founded (with Brian Nosek) the Society for the Improvement of Psychological Science. Also, she is editor in chief of Collabra: Psychology. ",https://www.simine.com,,
Chris Markiewicz,,he/him,Co-Moderator,Open Code: 6 Myths Debunked,"Center for Reproducible Neuroscience Stanford University",,,https://twitter.com/effigies,
Anastasia Yendiki,,she/her,Speaker,Open Code: 6 Myths Debunked,Massachusetts General Hospital / Harvard Medical School,"Anastasia is Associate Professor in Radiology at Harvard Medical School and Associate Investigator at Massachusetts General Hospital, Martinos Center for Biomedical Imaging. She received her Ph.D in Electrical Engineering: Systems from the University of Michigan at Ann Arbor, where she worked on inverse problems in tomographic image reconstruction. She then came to the Martinos Center to learn about fMRI, but saw a tractography image on her first day and changed her mind. As a postdoc, she developed TRACULA, the diffusion tractography toolbox in the FreeSurfer software package. Her current interests are in obtaining accurate models of white-matter fiber bundles from microscopy techniques, such as anatomic tracing and optical imaging, developing methods that can take advantage of these post mortem models to infer connectional anatomy from in vivo diffusion MRI, and one day getting good at flamenco guitar.",https://scholar.harvard.edu/a-y,https://twitter.com/nastasiayendiki,https://github.com/freesurfer/FreeSurfer.jl
Jingwei Li,,she/her,Speaker,Social Bias in Machine Learning,"Institute of Neuroscience and Medicine, Brain and Behaviour (INM-7), Research Center Jülich, Germany","Jingwei obtained her B.Eng in Automation at Shanghai Jiao Tong University, China (2015), and Ph.D. in Electrical and Computer Engineering at National University of Singapore, Singapore (2019). Since 2020, she has been working as a postdoctoral researcher at Research Center Jülich, Germany. Her research focuses on behavioral prediction from fMRI data, in particular the effects of neuroimaging preprocessing strategies on behavioral prediction outcomes and the generalizability of predictive models.",https://scholar.google.com/citations?user=4CCSjBUAAAAJ&hl=en,https://twitter.com/jingwei_ava_li,
Janine Bijsterbosch,,she/her,Co-Moderator,Open Publishing,Washington University in St Louis,,https://www.mir.wustl.edu/employees/janine-bijsterbosch/,,
Islem Rekik,,she/her,Speaker,Open Code: 6 Myths Debunked,Istanbul Technical Univeristy,"Islem is the Director of the Brain And SIgnal Research and Analysis (BASIRA) laboratory (http://basira-lab.com/).  Together with BASIRA members, she conducted more than 80 cutting-edge research projects, published in high-impact journals and conferences, and cross-pollinating AI and healthcare —with a sharp focus on brain imaging and neuroscience. She is also a co/chair/organizer of more than 20 international first-class conferences/workshops/competitions (e.g., Affordable AI 2021, Predictive AI 2008-2021, Machine Learning in Medical Imaging 2021, WILL competition 2021).  She is the former president of the Women in MICCAI (WiM) and the co-founder of the international RISE Network to Reinforce Inclusiveness & diverSity and Empower minority researchers in Low-Middle Income Countries (LMIC).",https://basira-lab.com/,,https://github.com/basiralab/
Nick Tustison,,he/his,Speaker,Open Code: 6 Myths Debunked,Department of Radiology and Medical Imaging,,https://www.linkedin.com/in/nick-tustison/,,https://github.com/ntustison
Stephanie Noble,,she/her,Co-Moderator,Emerging Statistical Perspectives in Promoting Reproducible Research,Yale University,Stephanie is a postdoc at Yale working on computational and statistical tools for more reproducible fMRI research. She’s also passionate about supporting her underrepresented colleagues and fellow Latinas in STEM!,,,https://sneuroble.github.io/
Tanyaluck Thientunyakit,,she/her,Speaker,Challenges of Open Science in Developing Countries,"Medicine Siriraj Hospital, Mahidol University","Tanyaluck  is an Associate Professor in Nuclear Medicine. She got Thai Board of Nuclear Medicine in 2004 and Fellow of Asian Nuclear Medicine Board in 2017. She is currently President in Quality Development in of Department of Radiology, Faculty of Medicine Siriraj Hospital, Mahidol University in Bangkok, Thailand. She is also The National Hybrid Imaging Ambassador to Thailand for European Society for Hybrid, Molecular and Translation Imaging and Board member of Brain Imaging Council (BIC), Society of Nuclear Medicine Molecular Imaging during 2020 - 2022. Dr. Thientunyakit has had experiences in clinical services, teachings, administrations, research grant and journal reviews and coordination for scientific activities for both national and international levels. Her special interests and publications are mostly in Nuclear Medicine Applications in Oncology, Neurology and Thyroid Diseases as well as Routine-to-Research for Quality Development in Radiology and Nuclear Medicine Services. She has been collaborating with The International Atomic Energy Agency (IAEA) and RCARO through academic projects, collaborative research projects, national TC projects, and Regional collaborative projects. She received awards from National and International organizations including Ministry of Public Health, Thailand, RCARO, WFNMB, ECR, and SNMMI for her academic and research activities.",,,
Wesley Thompson,,he/his,Speaker,Emerging Statistical Perspectives in Promoting Reproducible Research,Laureate Institute of Brain Research,,https://www.linkedin.com/in/wesley-thompson-3a53a35/,,
Gang Chen,,he/his,Speaker,Emerging Statistical Perspectives in Promoting Reproducible Research,"National Institutes of Health, USA",,,https://twitter.com/gangchen6,
Johanna Bayer,,she/her,Co-Moderator,Emerging Statistical Perspectives in Promoting Reproducible Research,The University of Melbourne,,www.linkedin.com/in/johanna-bayer,https://twitter.com/likeajumprope,https://www.github.com/likeajumprope
